,CIK,end_date,Name,CUSIP,Market value,Share,symbol,amend_x,period_focus_x,fiscal_year_x,doc_type_x,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
0,1061165,201706,ACTIVISION BLIZZARD INC,00507V109,1239779,21535165,ATVI,FALSE,Q2,2017,10-Q,1631000000,339000000,243000000,0.32,0.32,0,16808000000,4352000000,1765000000,3278000000,9715000000,676000000,-41000000,-652000000
1,1061165,201809,ACTIVISION BLIZZARD INC,00507V109,1342577,16138688,ATVI,FALSE,Q3,2018,10-Q,2200000000,265000000,260000000,0.34,0.34,0,16713000000,4972000000,2382000000,3308000000,10659000000,791000000,-160000000,-2020000000
2,1061165,201512,ACTIVISION BLIZZARD INC,00507V109,436108,11266018,ATVI,FALSE,FY,2015,10-K,4664000000,1319000000,881000000,1.21,1.19,0.23,15251000000,3387000000,2611000000,1823000000,8068000000,1192000000,-3716000000,-135000000
3,1061165,201712,ACTIVISION BLIZZARD INC,00507V109,1084956,17134499,ATVI,FALSE,FY,2017,10-K,7017000000,1309000000,273000000,0.36,0.36,0.3,18668000000,6520000000,3663000000,4713000000,9462000000,2213000000,-197000000,-624000000
4,1061165,201606,ACTIVISION BLIZZARD INC,00507V109,407916,10293113,ATVI,FALSE,Q2,2016,10-Q,1570000000,232000000,126000000,0.17,0.17,0,16607000000,3420000000,2191000000,2271000000,8554000000,52000000,-1113000000,-52000000
5,1061165,201609,ACTIVISION BLIZZARD INC,00507V109,765928,17289564,ATVI,FALSE,Q3,2016,10-Q,1568000000,294000000,198000000,0.27,0.26,0,18380000000,5334000000,3701000000,4029000000,8818000000,1296000000,-1150000000,2083000000
6,1061165,201612,ACTIVISION BLIZZARD INC,00507V109,745619,20648534,ATVI,FALSE,FY,2016,10-K,6608000000,1412000000,962000000,1.3,1.28,0.26,17452000000,4830000000,2656000000,3245000000,9119000000,2155000000,-1177000000,500000000
7,1061165,201812,ACTIVISION BLIZZARD INC,00507V109,729818,15671412,ATVI,,,,,,,,,,,,,,,,,,
8,1061165,201803,ACTIVISION BLIZZARD INC,00507V109,981945,14555953,ATVI,FALSE,Q1,2018,10-Q,1965000000,595000000,500000000,0.66,0.65,0.34,18397000000,6410000000,2927000000,5217000000,9819000000,529000000,-51000000,8000000
9,1061165,201509,ACTIVISION BLIZZARD INC,00507V109,287084,9293749,ATVI,FALSE,Q3,2015,10-Q,990000000,196000000,125000000,0.17,0.17,0,14302000000,6309000000,1610000000,4365000000,7989000000,163000000,-239000000,-139000000
10,1061165,201806,ACTIVISION BLIZZARD INC,00507V109,1088143,14257637,ATVI,FALSE,Q2,2018,10-Q,1641000000,434000000,402000000,0.53,0.52,0,17958000000,6134000000,2060000000,4857000000,10346000000,538000000,-124000000,-250000000
11,1061165,201709,ACTIVISION BLIZZARD INC,00507V109,1279844,19839465,ATVI,FALSE,Q3,2017,10-Q,1618000000,257000000,188000000,0.25,0.25,0,17718000000,5386000000,2389000000,3576000000,9967000000,1055000000,-156000000,-640000000
12,1061165,201703,ACTIVISION BLIZZARD INC,00507V109,1236562,24800690,ATVI,FALSE,Q1,2017,10-Q,1726000000,493000000,426000000,0.57,0.56,0.3,16921000000,4356000000,2239000000,3248000000,9436000000,411000000,-23000000,-404000000
14,1061165,201706,ADOBE SYS INC,00724F101,556127,3931896,ADBE,FALSE,Q2,2017,10-Q,1772190000,504082000,374390000,0.76,0.75,0,13364900000,6052197000,3047896000,1316950000,7803998000,1375197000,-426429000,-645927000
15,1061165,201809,ADOBE SYS INC,00724F101,1464417,5424771,ADBE,FALSE,Q3,2018,10-Q,2291076000,718606000,666291000,1.36,1.34,0,15395620000,6300913000,3792027000,1747144000,8861925000,2921311000,-1546417000,-1930299000
16,1061165,201512,ADOBE SYS INC,00724F101,376905,4012185,ADBE,FALSE,FY,2015,10-K,4795511000,903095000,629551000,1.26,1.24,0,11726472000,4821892000,2213556000,876560000,7001580000,1469502000,-1488358000,-200687000
17,1061165,201712,ADOBE SYS INC,00724F101,1014732,5790528,ADBE,FALSE,FY,2017,10-K,7301505000,2168095000,1693954000,3.43,3.38,0,14535556000,7247813000,3527457000,2306072000,8459869000,2912853000,-442877000,-1183735000
18,1061165,201406,ADOBE SYS INC,00724F101,860323,11889484,ADBE,FALSE,Q2,2014,10-Q,1068208000,135258000,88527000,0.18,0.17,0,10372199000,4114343000,2217972000,817020000,6636888000,619209000,-242354000,-394136000
20,1061165,201409,ADOBE SYS INC,00724F101,793402,11467010,ADBE,FALSE,Q3,2014,10-Q,1005409000,74176000,44686000,0.09,0.09,0,10493680000,4279468000,2245248000,903329000,6731260000,887729000,-412748000,-403930000
21,1061165,201606,ADOBE SYS INC,00724F101,478800,4998438,ADBE,FALSE,Q2,2016,10-Q,1398709000,344239000,244074000,0.49,0.48,0,12216783000,5238564000,2385590000,886379000,7248611000,986242000,-510347000,-465280000
22,1061165,201403,ADOBE SYS INC,00724F101,433906,6600334,ADBE,FALSE,Q1,2014,10-Q,1000120000,78746000,47046000,0.09,0.09,0,10245882000,3942391000,2112347000,733916000,6610883000,251673000,-94422000,-258209000
24,1061165,201609,ADOBE SYS INC,00724F101,501235,4617977,ADBE,FALSE,Q3,2016,10-Q,1463967000,369325000,270788000,0.54,0.54,0,12367441000,5418710000,2505666000,767672000,7277946000,1504127000,-816935000,-790237000
25,1061165,201503,ADOBE SYS INC,00724F101,890636,12045393,ADBE,FALSE,Q1,2015,10-Q,1109181000,173025000,84888000,0.17,0.17,0,11008422000,3972159000,1788160000,712884000,6589020000,183015000,-698371000,119275000
26,1061165,201612,ADOBE SYS INC,00724F101,517591,5027599,ADBE,FALSE,FY,2016,10-K,5854430000,1493602000,1168782000,2.35,2.32,0,12707114000,5839774000,2811635000,1011315000,7424835000,2199728000,-960033000,-1090706000
27,1061165,201412,ADOBE SYS INC,00724F101,885431257,12179247,ADBE,FALSE,FY,2014,10-K,4147065000,412685000,268395000,0.54,0.53,0,10785829000,4602328000,2494435000,1117400000,6775905000,1287482000,-490707000,-507283000
28,1061165,201803,ADOBE SYS INC,00724F101,1220707,5649328,ADBE,FALSE,Q1,2018,10-Q,2078947000,702733000,583076000,1.18,1.17,0,14973485000,7480814000,3536469000,2666981000,8634028000,989601000,-93762000,-541273000
29,1061165,201509,ADOBE SYS INC,00724F101,510522,6209219,ADBE,FALSE,Q3,2015,10-Q,1217768000,246019000,174465000,0.35,0.34,0,11508395000,4525888000,2060814000,829292000,6841332000,1014987000,-1202371000,-85537000
30,1061165,201806,ADOBE SYS INC,00724F101,1086506,4456362,ADBE,FALSE,Q2,2018,10-Q,2195360000,698484000,663167000,1.35,1.33,0,15163404000,7741444000,3728956000,2987986000,8705583000,1966007000,-26083000,-1258638000
31,1061165,201506,ADOBE SYS INC,00724F101,750512,9264439,ADBE,FALSE,Q2,2015,10-Q,1162158000,193617000,147493000,0.3,0.29,0,11165383000,4178397000,1937033000,956147000,6610103000,654499000,-737280000,-66827000
32,1061165,201709,ADOBE SYS INC,00724F101,586560,3931896,ADBE,FALSE,Q3,2017,10-Q,1841074000,545674000,419569000,0.85,0.84,0,13906815000,6581057000,3216144000,1774550000,8170434000,2079633000,-463243000,-864226000
33,1061165,201703,ADOBE SYS INC,00724F101,626523,4814596,ADBE,FALSE,Q1,2017,10-Q,1681646000,468999000,398446000,0.81,0.8,0,13044783000,5755562000,2954069000,1068896000,7588690000,730370000,-338882000,-331495000
