,Unnamed: 0,symble,Name,location
0,0.0,JD,JD COM INC,-1
2,2.0,MBBYF,MOBILEYE N V AMSTELVEEN,-1
3,3.0,BIDU,BAIDU INC,-1
10,10.0,QUOTE,CROWN CASTLE INTL CORP,-1
14,14.0,GOSS,GOSSAMER BIO INC,-1
17,17.0,YNDX,YANDEX N V,-1
18,18.0,YPF,YPF SOCIEDAD ANONIMA,-1
20,20.0,SE,SEA LTD,-1
25,25.0,JFKKU,CONYERS PK ACQUISITION,-1
30,30.0,BKNG,BOOKING HLDGS INC,-1
31,31.0,COH,COACH INC,-1
32,32.0,QVCA,LIBERTY INTERACTIVE CORP,-1
33,33.0,STOCK-CHART,RF MICRODEVICES INC,-1
44,44.0,TV,GRUPO TELEVISA SA,-1
47,47.0,SNAPSHOT_ARTICLE.ASP?TICKER=BTH1V,BIOTIE THERAPIES OYJ,-1
49,49.0,TAK,TAKEDA PHARMACEUTICAL CO LTD,-1
57,57.0,AMC,AMC ENTMT HLDGS INC,-1
59,59.0,IMOS,CHIPMOS TECH BERMUDA LTD,-1
63,63.0,VIPS,VIPSHOP HLDGS LTD,-1
67,67.0,CLNY,COLONY CAP INC NEW,-1
71,71.0,AER,AERCAP HOLDINGS NV,-1
80,80.0,ISS,ISOFTSTONE HLDGS LTD,-1
81,81.0,STNE,STONECO LTD,-1
85,85.0,OLN,OLIN CORP,-1
86,86.0,SRUNU,SILVER RUN ACQUISITION CORP,-1
87,87.0,DIS,DISNEY WALT CO,-1
88,88.0,GTYH,GTY TECHNOLOGY HOLDINGS INC,-1
90,90.0,TRU,TRANSUNION,-1
92,92.0,QRVO,QORVO INC,-1
93,93.0,PRESS-RELEASES,NEXEO SOLUTIONS INC,-1
94,94.0,FOX,TWENTY FIRST CENTY FOX INC,-1
96,96.0,TIVO,ROVI CORP,-1
97,97.0,BCS,BARCLAYS BK PLC,-1
100,100.0,UNG,UNITED STATES NATL GAS FUND,-1
102,102.0,GRFS,GRIFOLS S A,-1
107,107.0,ITRN,ITURAN LOCATION AND CONTROL,-1
108,108.0,PVG,PRETIUM RES INC,-1
110,110.0,CTRP,CTRIP COM INTL LTD,-1
111,111.0,ASML,ASML HOLDING N V,-1
112,112.0,IMOS,CHIPMOS TECHNOLOGIES INC,-1
113,113.0,AR,ANTERO RES CORP,-1
114,114.0,SMPL,SIMPLY GOOD FOODS CO,-1
115,115.0,TMQ.TO,NOVACOPPER INC,-1
117,117.0,AOI,ALLIANCE ONE INTL INC,-1
119,119.0,WYN,WYNDHAM WORLDWIDE CORP,-1
124,124.0,QRVO,TRIQUINT SEMICONDUCTOR INC,-1
126,126.0,DSW,DSW INC,-1
128,128.0,TBRA,TOBIRA THERAPEUTICS INC,-1
132,132.0,TSM,TAIWAN SEMICONDUCTOR MFG LTD,-1
136,136.0,SCAZP,SANCHEZ ENERGY CORP,-1
138,138.0,FOX,FOX CORP,-1
140,140.0,WLTW,TOWERS WATSON & CO,-1
145,145.0,CLNY,COLONY CAP INC,-1
154,154.0,BATRA,LIBERTY MEDIA CORP DELAWARE,-1
155,155.0,LEXEA,LIBERTY EXPEDIA HOLDINGS,-1
159,159.0,DELL,DELL TECHNOLOGIES INC,-1
163,163.0,INVA,INNOVIVA INC,-1
171,171.0,SHPG,SHIRE PLC,-1
173,173.0,FXE,CURRENCYSHARES EURO TR,-1
176,176.0,CDEV,CENTENNIAL RESOURCE DEV INC,-1
181,181.0,FWP,FORWARD PHARMA A/S,-1
187,187.0,SVXY,PROSHARES TR II,-1
191,191.0,IBN,ICICI BK LTD,-1
193,193.0,VNTV,VANTIV INC,-1
195,195.0,SYNN,SYNGENTA AG,-1
206,206.0,SFUN,SOUFUN HLDGS LTD,-1
208,208.0,HDB,HDFC BANK LTD,-1
210,210.0,BB,BLACKBERRY LTD,-1
211,211.0,BABA,ALIBABA GROUP HLDG LTD,-1
214,214.0,SUNEQ,SUNEDISON SEMICONDUCTOR LTD,-1
218,218.0,ALDW,ALON USA PARTNERS LP,-1
220,220.0,BP,BP PLC,-1
224,224.0,SHOP,SHOPIFY INC,-1
232,232.0,BEAV%2CGIL,B/E AEROSPACE INC,-1
233,233.0,GOOG,GOOGLE INC,-1
240,240.0,LQ,LA QUINTA HLDGS INC,-1
241,241.0,GOOG,ALPHABET INC,-1
244,244.0,SUNEQ,SUNEDISON INC,-1
245,245.0,DEO,DIAGEO P L C,-1
252,252.0,BUD,ANHEUSER BUSCH INBEV SA/NV,-1
255,255.0,PAGS,PAGSEGURO DIGITAL LTD,-1
257,257.0,NWSA,NEWS CORP,-1
258,258.0,AUY,YAMANA GOLD INC,-1
261,261.0,CELG,CELGENE CORP,-1
267,267.0,VRX,VALEANT PHARMACEUTICALS INTL,-1
268,268.0,KORS,MICHAEL KORS HLDGS LTD,-1
269,269.0,QUAD,QUAD / GRAPHICS INC,-1
276,276.0,QRVO,TRINQUINT SEMICONDUCTOR INC,-1
278,278.0,AABA,ALTABA INC,-1
279,279.0,SRUNU,SILVER RUN ACQUISITION,-1
284,284.0,NIO,NIO INC,-1
286,286.0,QUOTE,SYNERON MEDICAL LTD,-1
290,290.0,IQV,IQVIA HLDGS INC,-1
294,294.0,SPGI,S&P GLOBAL INC,-1
298,298.0,KGC,KINROSS GOLD CORP,-1
300,300.0,STNLU,SENTINEL ENERGY SVCS INC,-1
303,303.0,BXE.TO,BELLATRIX EXPLORATION LTD,-1
