,Unnamed: 0,symble,Name,location
0,0,JD,JD COM INC,-1
2,2,MBBYF,MOBILEYE N V AMSTELVEEN,-1
3,3,BIDU,BAIDU INC,-1
10,10,CCI,CROWN CASTLE INTL CORP,-1
14,14,GOSS,GOSSAMER BIO INC,-1
17,17,YNDX,YANDEX N V,-1
18,18,YPF,YPF SOCIEDAD ANONIMA,-1
20,20,SE,SEA LTD,-1
25,25,CPAAU,CONYERS PK ACQUISITION,-1
30,30,BKNG,BOOKING HLDGS INC,-1
31,31,COH,COACH INC,-1
32,32,QVCA,LIBERTY INTERACTIVE CORP,-1
33,33,RFMD,RF MICRODEVICES INC,-1
44,44,TV,GRUPO TELEVISA SA,-1
47,47,BITI,BIOTIE THERAPIES OYJ,-1
49,49,TAK,TAKEDA PHARMACEUTICAL CO LTD,-1
57,57,AMC,AMC ENTMT HLDGS INC,-1
59,59,IMOS,CHIPMOS TECH BERMUDA LTD,-1
63,63,VIPS,VIPSHOP HLDGS LTD,-1
67,67,CLNY,COLONY CAP INC NEW,-1
71,71,AER,AERCAP HOLDINGS NV,-1
80,80,ISS,ISOFTSTONE HLDGS LTD,-1
81,81,STNE,STONECO LTD,-1
85,85,OLN,OLIN CORP,-1
86,86,SRUNU,SILVER RUN ACQUISITION CORP,-1
87,87,DIS,DISNEY WALT CO,-1
88,88,GTYH,GTY TECHNOLOGY HOLDINGS INC,-1
90,90,TRU,TRANSUNION,-1
92,92,QRVO,QORVO INC,-1
93,93,NXEO,NEXEO SOLUTIONS INC,-1
94,94,FOX,TWENTY FIRST CENTY FOX INC,-1
96,96,TIVO,ROVI CORP,-1
97,97,BCS,BARCLAYS BK PLC,-1
100,100,UNG,UNITED STATES NATL GAS FUND,-1
102,102,GRFS,GRIFOLS S A,-1
107,107,ITRN,ITURAN LOCATION AND CONTROL,-1
108,108,PVG,PRETIUM RES INC,-1
110,110,CTRP,CTRIP COM INTL LTD,-1
111,111,ASML,ASML HOLDING N V,-1
112,112,IMOS,CHIPMOS TECHNOLOGIES INC,-1
113,113,AR,ANTERO RES CORP,-1
114,114,SMPL,SIMPLY GOOD FOODS CO,-1
115,115,NCQ,NOVACOPPER INC,-1
117,117,AOI,ALLIANCE ONE INTL INC,-1
119,119,WYN,WYNDHAM WORLDWIDE CORP,-1
124,124,QRVO,TRIQUINT SEMICONDUCTOR INC,-1
126,126,DSW,DSW INC,-1
128,128,TBRA,TOBIRA THERAPEUTICS INC,-1
132,132,TSM,TAIWAN SEMICONDUCTOR MFG LTD,-1
136,136,SCAZP,SANCHEZ ENERGY CORP,-1
138,138,FOXA,FOX CORP,-1
140,140,WLTW,TOWERS WATSON & CO,-1
145,145,CLNY,COLONY CAP INC,-1
154,154,LSXMK,LIBERTY MEDIA CORP DELAWARE,-1
155,155,LEXEA,LIBERTY EXPEDIA HOLDINGS,-1
159,159,DELL,DELL TECHNOLOGIES INC,-1
163,163,INVA,INNOVIVA INC,-1
171,171,SHPG,SHIRE PLC,-1
173,173,FXE,CURRENCYSHARES EURO TR,-1
176,176,CDEV,CENTENNIAL RESOURCE DEV INC,-1
181,181,FWP,FORWARD PHARMA A/S,-1
187,187,SVXY,PROSHARES TR II,-1
191,191,IBN,ICICI BK LTD,-1
193,193,VNTV,VANTIV INC,-1
195,195,SYNN,SYNGENTA AG,-1
206,206,SFUN,SOUFUN HLDGS LTD,-1
208,208,HDB,HDFC BANK LTD,-1
210,210,BB,BLACKBERRY LTD,-1
211,211,BABA,ALIBABA GROUP HLDG LTD,-1
214,214,SUNEQ,SUNEDISON SEMICONDUCTOR LTD,-1
218,218,ALDW,ALON USA PARTNERS LP,-1
220,220,BP,BP PLC,-1
224,224,SHOP,SHOPIFY INC,-1
232,232,BEAV%2CGIL,B/E AEROSPACE INC,-1
233,233,GOOG,GOOGLE INC,-1
240,240,LQ,LA QUINTA HLDGS INC,-1
241,241,GOOGL,ALPHABET INC,-1
244,244,SUNEQ,SUNEDISON INC,-1
245,245,DEO,DIAGEO P L C,-1
252,252,BUD,ANHEUSER BUSCH INBEV SA/NV,-1
255,255,PAGS,PAGSEGURO DIGITAL LTD,-1
257,257,NWSA,NEWS CORP,-1
258,258,AUY,YAMANA GOLD INC,-1
261,261,CELG,CELGENE CORP,-1
267,267,VRX,VALEANT PHARMACEUTICALS INTL,-1
268,268,KORS,MICHAEL KORS HLDGS LTD,-1
269,269,QUAD,QUAD / GRAPHICS INC,-1
276,276,QRVO,TRINQUINT SEMICONDUCTOR INC,-1
278,278,AABA,ALTABA INC,-1
279,279,SRUNU,SILVER RUN ACQUISITION,-1
284,284,NIO,NIO INC,-1
286,286,ELOS,SYNERON MEDICAL LTD,-1
290,290,IQV,IQVIA HLDGS INC,-1
294,294,SPGI,S&P GLOBAL INC,-1
298,298,KGC,KINROSS GOLD CORP,-1
300,300,STNLU,SENTINEL ENERGY SVCS INC,-1
303,303,BXE.TO,BELLATRIX EXPLORATION LTD,-1
