,symble,Name
0,JD,JD COM INC
1,ULTA,ULTA SALON COSMETICS & FRAG I
2,MBBYF,MOBILEYE N V AMSTELVEEN
3,BIDU,BAIDU INC
4,V,VISA INC
5,UNH,UNITEDHEALTH GROUP INC
6,PCG,PG&E CORP
7,SBAC,SBA COMMUNICATIONS CORP
8,INTC,INTEL CORP
9,CHTR,CHARTER COMMUNICATIONS INC N
10,quote,CROWN CASTLE INTL CORP
11,AGN,ALLERGAN PLC
12,TRIP,TRIPADVISOR INC
13,aapl,APPLE INC
14,goss,GOSSAMER BIO INC
15,cah,CARDINAL HEALTH INC
16,WSM,WILLIAMS SONOMA INC
17,YNDX,YANDEX N V
18,YPF,YPF SOCIEDAD ANONIMA
19,prtk,PARATEK PHARMACEUTICALS INC
20,se,SEA LTD
21,VSAT,VIASAT INC
22,ilmn,ILLUMINA INC
23,ozm,OCH ZIFF CAP MGMT GROUP
24,rl,RALPH LAUREN CORP
25,JFKKU,CONYERS PK ACQUISITION
26,ODP,OFFICE DEPOT INC
27,dva,DAVITA HEALTHCARE PARTNERS I
28,tbph,THERAVANCE BIOPHARMA INC
29,cbs,CBS CORP NEW
30,BKNG,BOOKING HLDGS INC
31,COH,COACH INC
32,QVCA,LIBERTY INTERACTIVE CORP
33,stock-chart,RF MICRODEVICES INC
34,ORCL,ORACLE CORP
35,gnw,GENWORTH FINL INC
36,news,HUMANA INC
37,NFLX,NETFLIX INC
38,ADBE,ADOBE INC
39,cvlt,COMMVAULT SYSTEMS INC
40,EA,ELECTRONIC ARTS INC
41,YUM,YUM BRANDS INC
42,PXD,PIONEER NAT RES CO
43,TAP,MOLSON COORS BREWING CO
44,TV,GRUPO TELEVISA SA
45,Run,SUNRUN INC
46,news,IDENIX PHARMACEUTICALS INC
47,snapshot_article.asp?ticker=BTH1V,BIOTIE THERAPIES OYJ
48,tbph,THERAVANCE INC
49,TAK,TAKEDA PHARMACEUTICAL CO LTD
50,bmy,BRISTOL MYERS SQUIBB CO
51,lpla,LPL FINL HLDGS INC
52,EMC,E M C CORP MASS
53,ADBE,ADOBE SYS INC
54,tbio,TRANSLATE BIO INC
55,TDG,TRANSDIGM GROUP INC
56,SBAC,SBA COMMUNICATIONS CORP NEW
57,AMC,AMC ENTMT HLDGS INC
58,semg,SEMGROUP CORP
59,imos,CHIPMOS TECH BERMUDA LTD
60,news,ALBEMARLE CORP
61,NVDA,NVIDIA CORP
62,PCLN,PRICELINE COM INC
63,VIPS,VIPSHOP HLDGS LTD
64,ECA,ENCANA CORP
65,UNVR,UNIVAR INC
66,Q,QUINTILES IMS HOLDINGS INC
67,CLNY,COLONY CAP INC NEW
68,shw,SHERWIN WILLIAMS CO
69,CME,CME GROUP INC
70,PBF,PBF ENERGY INC
71,AER,AERCAP HOLDINGS NV
72,CMCSA,COMCAST CORP NEW
