,end_date,Name,Market value,Share,symbol,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
20,201403,ADOBE SYS INC,433906,6600334,ADBE,1000120000.0,78746000.0,47046000.0,0.09,0.09,0.0,10245882000.0,3942391000.0,2112347000.0,733916000.0,6610883000.0,251673000.0,-94422000.0,-258209000.0
17,201406,ADOBE SYS INC,860323,11889484,ADBE,1068208000.0,135258000.0,88527000.0,0.18,0.17,0.0,10372199000.0,4114343000.0,2217972000.0,817020000.0,6636888000.0,619209000.0,-242354000.0,-394136000.0
18,201409,ADOBE SYS INC,793402,11467010,ADBE,1005409000.0,74176000.0,44686000.0,0.09,0.09,0.0,10493680000.0,4279468000.0,2245248000.0,903329000.0,6731260000.0,887729000.0,-412748000.0,-403930000.0
24,201412,ADOBE SYS INC,885431257,12179247,ADBE,4147065000.0,412685000.0,268395000.0,0.54,0.53,0.0,10785829000.0,4602328000.0,2494435000.0,1117400000.0,6775905000.0,1287482000.0,-490707000.0,-507283000.0
22,201503,ADOBE SYS INC,890636,12045393,ADBE,1109181000.0,173025000.0,84888000.0,0.17,0.17,0.0,11008422000.0,3972159000.0,1788160000.0,712884000.0,6589020000.0,183015000.0,-698371000.0,119275000.0
28,201506,ADOBE SYS INC,750512,9264439,ADBE,1162158000.0,193617000.0,147493000.0,0.3,0.29,0.0,11165383000.0,4178397000.0,1937033000.0,956147000.0,6610103000.0,654499000.0,-737280000.0,-66827000.0
26,201509,ADOBE SYS INC,510522,6209219,ADBE,1217768000.0,246019000.0,174465000.0,0.35,0.34,0.0,11508395000.0,4525888000.0,2060814000.0,829292000.0,6841332000.0,1014987000.0,-1202371000.0,-85537000.0
15,201512,ADOBE SYS INC,376905,4012185,ADBE,4795511000.0,903095000.0,629551000.0,1.26,1.24,0.0,11726472000.0,4821892000.0,2213556000.0,876560000.0,7001580000.0,1469502000.0,-1488358000.0,-200687000.0
463,201603,ADBOE SYS INC,475858,5073108,ADBE,1383335000.0,307758000.0,254307000.0,0.51,0.5,0.0,11896682000.0,4935390000.0,2231806000.0,830696000.0,7081202000.0,497527000.0,-258842000.0,-284392000.0
19,201606,ADOBE SYS INC,478800,4998438,ADBE,1398709000.0,344239000.0,244074000.0,0.49,0.48,0.0,12216783000.0,5238564000.0,2385590000.0,886379000.0,7248611000.0,986242000.0,-510347000.0,-465280000.0
21,201609,ADOBE SYS INC,501235,4617977,ADBE,1463967000.0,369325000.0,270788000.0,0.54,0.54,0.0,12367441000.0,5418710000.0,2505666000.0,767672000.0,7277946000.0,1504127000.0,-816935000.0,-790237000.0
23,201612,ADOBE SYS INC,517591,5027599,ADBE,5854430000.0,1493602000.0,1168782000.0,2.35,2.32,0.0,12707114000.0,5839774000.0,2811635000.0,1011315000.0,7424835000.0,2199728000.0,-960033000.0,-1090706000.0
